City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
504,roseburg,43.2165,-123.3417,53.71,68,100,6.91,US,1675556577
505,taltal,-25.4,-70.4833,70.68,78,34,3.6,CL,1675556578
506,rio cuarto,-33.1307,-64.3499,73.17,64,0,4.61,AR,1675556578
507,juneau,58.3019,-134.4197,35.22,94,100,0.0,US,1675556326
508,san juan,-31.5375,-68.5364,82.96,27,0,6.82,AR,1675556579
509,san carlos de bariloche,-41.1456,-71.3082,83.95,20,0,21.85,AR,1675556579
510,sakakah,29.9697,40.2064,44.17,69,11,4.03,SA,1675556580
511,birnin kebbi,12.4539,4.1975,77.43,14,33,8.46,NG,1675556580
512,luderitz,-26.6481,15.1594,64.33,83,52,15.64,NA,1675556581
513,krasnyy chikoy,50.3643,108.7512,-2.63,100,100,1.61,RU,1675556584
514,katherine,-14.4667,132.2667,84.52,58,89,5.75,AU,1675556585
515,mednogorskiy,43.9178,41.1825,26.65,71,92,3.74,RU,1675556586
516,lakeway,30.3638,-97.9796,59.29,67,40,9.22,US,1675556397
517,atchison,39.563,-95.1216,48.15,63,100,13.15,US,1675556587
518,novyy urgal,51.0736,132.5642,-19.61,97,100,0.65,RU,1675556589
519,gongzhuling,43.5008,124.8198,17.08,77,93,7.2,CN,1675556589
520,gasa,31.5,34.4667,52.88,66,73,12.48,PS,1675556590
521,mayo,38.8876,-76.5119,31.12,55,0,10.36,US,1675556507
522,bernay,49.1667,0.6667,45.68,83,100,1.99,FR,1675556591
523,andilamena,-17.0167,48.5833,65.3,93,100,1.54,MG,1675556592
524,matay,28.419,30.7792,51.24,51,86,4.43,EG,1675556592
525,salamanca,40.8333,-6.0,34.99,55,0,8.59,ES,1675556520
526,haines junction,60.7522,-137.5108,15.75,73,100,1.14,CA,1675556593
527,orlik,52.5178,99.825,-7.06,98,96,2.68,RU,1675556493
528,balakhninskiy,58.0106,114.2769,-4.9,100,100,0.58,RU,1675556594
529,tual,-5.6667,132.75,81.05,81,100,15.23,ID,1675556595
530,mao,39.8885,4.2658,54.16,66,0,21.85,ES,1675556595
531,padang,-0.9492,100.3543,75.25,87,100,2.8,ID,1675556596
532,lujiang,31.2581,117.2817,43.88,74,99,6.04,CN,1675556597
533,xuddur,4.1213,43.8894,68.41,50,15,16.58,SO,1675556597
534,amahai,-3.3333,128.9167,78.69,83,100,5.5,ID,1675556598
535,xingyi,24.1877,102.817,45.84,91,34,4.47,CN,1675556599
536,tateyama,34.9833,139.8667,48.09,60,12,14.41,JP,1675556457
537,bushenyi,-0.5853,30.2114,60.96,60,27,2.01,UG,1675556601
538,port hedland,-20.3167,118.5667,87.85,55,12,12.66,AU,1675556602
539,baykit,61.67,96.37,5.65,98,99,2.04,RU,1675556603
540,talcahuano,-36.7167,-73.1167,62.28,88,100,5.75,CL,1675556604
541,arkadak,51.9326,43.4978,16.11,96,100,4.65,RU,1675556604
542,manokwari,-0.8667,134.0833,77.72,87,100,5.77,ID,1675556605
543,mae sai,20.4335,99.8762,62.8,88,72,1.21,TH,1675556607
544,moba,33.2288,105.0179,33.75,90,95,2.06,CN,1675556607
545,baghdad,33.3406,44.4009,46.31,66,20,6.91,IQ,1675556608
546,camacha,33.0833,-16.3333,58.42,67,40,17.27,PT,1675556609
547,makubetsu,45.3714,141.8211,15.51,92,75,5.75,JP,1675556609
548,koscierzyna,54.1223,17.9812,26.85,92,78,5.35,PL,1675556610
549,hasilpur,29.7122,72.5553,57.97,39,0,6.91,PK,1675556610
550,madison,34.7334,-86.5667,48.0,53,0,5.99,US,1675556456
551,matara,5.9485,80.5353,74.19,92,60,4.07,LK,1675556611
552,kamenka,51.3223,42.7678,20.05,95,99,7.56,RU,1675556611
553,okha,53.5739,142.9478,-15.03,98,73,10.18,RU,1675556612
554,young,-32.6833,-57.6333,66.52,41,0,5.41,UY,1675556612
555,manicore,-5.8092,-61.3003,76.95,94,20,1.14,BR,1675556612
556,tripoli,32.8752,13.1875,57.33,72,50,12.12,LY,1675556613
557,husavik,66.0449,-17.3389,28.2,74,48,15.1,IS,1675556614
558,zhanaozen,43.3,52.8,28.26,85,47,5.77,KZ,1675556614
559,asyut,27.181,31.1837,52.74,49,62,5.12,EG,1675556615
560,shimoda,34.6667,138.95,48.56,58,66,12.88,JP,1675556615
561,muscat,23.6139,58.5922,68.02,67,0,1.54,OM,1675556616
562,miles city,46.4083,-105.8406,41.97,60,75,11.5,US,1675556489
563,turukhansk,65.8167,87.9833,7.56,96,98,7.18,RU,1675556616
